iter	Passed	Remaining
903	53679	5700
904	53760	5643
905	53836	5585
906	53917	5528
907	53991	5470
908	54064	5412
909	54138	5354
910	54229	5297
911	54285	5238
912	54356	5179
913	54422	5120
914	54493	5062
915	54558	5003
916	54629	4944
917	54703	4886
918	54780	4828
919	54853	4769
920	54922	4711
921	54994	4652
922	55037	4591
923	55113	4533
924	55191	4474
925	55255	4415
926	55313	4355
927	55374	4296
928	55427	4236
929	55483	4176
930	55538	4116
931	55600	4056
932	55663	3997
933	55730	3938
934	55791	3878
935	55829	3817
936	55887	3757
937	55948	3698
938	56005	3638
939	56063	3578
940	56097	3517
941	56159	3457
942	56218	3398
943	56281	3338
944	56342	3279
945	56407	3219
946	56465	3160
947	56519	3100
948	56582	3040
949	56624	2980
950	56684	2920
951	56749	2861
952	56809	2801
953	56868	2742
954	56916	2681
955	56971	2622
956	57031	2562
957	57094	2503
958	57150	2443
959	57207	2383
960	57263	2323
961	57328	2264
962	57393	2205
963	57454	2145
964	57514	2086
965	57579	2026
966	57633	1966
967	57688	1907
968	57748	1847
969	57793	1787
970	57856	1727
971	57914	1668
972	57969	1608
973	58024	1548
974	58082	1489
975	58143	1429
976	58204	1370
977	58262	1310
978	58325	1251
979	58388	1191
980	58446	1131
981	58504	1072
982	58567	1012
983	58622	953
984	58680	893
985	58734	833
986	58797	774
987	58856	714
988	58916	655
989	58972	595
990	59032	536
991	59092	476
992	59126	416
993	59184	357
994	59247	297
995	59307	238
996	59366	178
997	59439	119
998	59499	59
999	59559	0
